RecordType,CreationDate,UserIds,Operations,AuditData,ResultIndex,ResultCount,Identity,IsValid,ObjectState
AzureActiveDirectoryStsLogon,4/08/2026 8:00:00 AM,casey.morgan@northstar.example,UserLoginFailed,"{""ClientIP"":""198.51.100.77"",""CreationTime"":""2026-08-04T08:00:00Z"",""ErrorNumber"":50074,""Id"":""00000000-0000-4000-8000-000000000001"",""LogonError"":""UserStrongAuthClientAuthNRequiredInterrupt"",""Operation"":""UserLoginFailed"",""Organization"":""northstar.example"",""ResultStatus"":""Failed"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""AzureActiveDirectory""}",1,120,northstar-audit-001,true,Unchanged
AzureActiveDirectoryStsLogon,4/08/2026 8:11:00 AM,casey.morgan@northstar.example,UserLoginFailed,"{""ClientIP"":""198.51.100.77"",""CreationTime"":""2026-08-04T08:11:00Z"",""ErrorNumber"":50074,""Id"":""00000000-0000-4000-8000-000000000002"",""LogonError"":""UserStrongAuthClientAuthNRequiredInterrupt"",""Operation"":""UserLoginFailed"",""Organization"":""northstar.example"",""ResultStatus"":""Failed"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""AzureActiveDirectory""}",2,120,northstar-audit-002,true,Unchanged
AzureActiveDirectoryStsLogon,4/08/2026 8:22:00 AM,casey.morgan@northstar.example,UserLoginFailed,"{""ClientIP"":""198.51.100.77"",""CreationTime"":""2026-08-04T08:22:00Z"",""ErrorNumber"":50074,""Id"":""00000000-0000-4000-8000-000000000003"",""LogonError"":""UserStrongAuthClientAuthNRequiredInterrupt"",""Operation"":""UserLoginFailed"",""Organization"":""northstar.example"",""ResultStatus"":""Failed"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""AzureActiveDirectory""}",3,120,northstar-audit-003,true,Unchanged
AzureActiveDirectoryStsLogon,4/08/2026 8:33:00 AM,casey.morgan@northstar.example,UserLoginFailed,"{""ClientIP"":""198.51.100.77"",""CreationTime"":""2026-08-04T08:33:00Z"",""ErrorNumber"":50074,""Id"":""00000000-0000-4000-8000-000000000004"",""LogonError"":""UserStrongAuthClientAuthNRequiredInterrupt"",""Operation"":""UserLoginFailed"",""Organization"":""northstar.example"",""ResultStatus"":""Failed"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""AzureActiveDirectory""}",4,120,northstar-audit-004,true,Unchanged
AzureActiveDirectoryStsLogon,4/08/2026 8:44:00 AM,casey.morgan@northstar.example,UserLoginFailed,"{""ClientIP"":""198.51.100.77"",""CreationTime"":""2026-08-04T08:44:00Z"",""ErrorNumber"":50074,""Id"":""00000000-0000-4000-8000-000000000005"",""LogonError"":""UserStrongAuthClientAuthNRequiredInterrupt"",""Operation"":""UserLoginFailed"",""Organization"":""northstar.example"",""ResultStatus"":""Failed"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""AzureActiveDirectory""}",5,120,northstar-audit-005,true,Unchanged
AzureActiveDirectoryStsLogon,4/08/2026 8:55:00 AM,casey.morgan@northstar.example,UserLoginFailed,"{""ClientIP"":""198.51.100.77"",""CreationTime"":""2026-08-04T08:55:00Z"",""ErrorNumber"":50074,""Id"":""00000000-0000-4000-8000-000000000006"",""LogonError"":""UserStrongAuthClientAuthNRequiredInterrupt"",""Operation"":""UserLoginFailed"",""Organization"":""northstar.example"",""ResultStatus"":""Failed"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""AzureActiveDirectory""}",6,120,northstar-audit-006,true,Unchanged
AzureActiveDirectoryStsLogon,4/08/2026 9:06:00 AM,casey.morgan@northstar.example,UserLoginFailed,"{""ClientIP"":""198.51.100.77"",""CreationTime"":""2026-08-04T09:06:00Z"",""ErrorNumber"":50074,""Id"":""00000000-0000-4000-8000-000000000007"",""LogonError"":""UserStrongAuthClientAuthNRequiredInterrupt"",""Operation"":""UserLoginFailed"",""Organization"":""northstar.example"",""ResultStatus"":""Failed"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""AzureActiveDirectory""}",7,120,northstar-audit-007,true,Unchanged
AzureActiveDirectoryStsLogon,4/08/2026 9:17:00 AM,casey.morgan@northstar.example,UserLoginFailed,"{""ClientIP"":""192.0.2.44"",""CreationTime"":""2026-08-04T09:17:00Z"",""ErrorNumber"":50074,""Id"":""00000000-0000-4000-8000-000000000008"",""LogonError"":""UserStrongAuthClientAuthNRequiredInterrupt"",""Operation"":""UserLoginFailed"",""Organization"":""northstar.example"",""ResultStatus"":""Failed"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""AzureActiveDirectory""}",8,120,northstar-audit-008,true,Unchanged
AzureActiveDirectoryStsLogon,4/08/2026 9:28:00 AM,casey.morgan@northstar.example,UserLoginFailed,"{""ClientIP"":""192.0.2.44"",""CreationTime"":""2026-08-04T09:28:00Z"",""ErrorNumber"":50074,""Id"":""00000000-0000-4000-8000-000000000009"",""LogonError"":""UserStrongAuthClientAuthNRequiredInterrupt"",""Operation"":""UserLoginFailed"",""Organization"":""northstar.example"",""ResultStatus"":""Failed"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""AzureActiveDirectory""}",9,120,northstar-audit-009,true,Unchanged
AzureActiveDirectoryStsLogon,4/08/2026 9:39:00 AM,casey.morgan@northstar.example,UserLoginFailed,"{""ClientIP"":""192.0.2.44"",""CreationTime"":""2026-08-04T09:39:00Z"",""ErrorNumber"":50074,""Id"":""00000000-0000-4000-8000-000000000010"",""LogonError"":""UserStrongAuthClientAuthNRequiredInterrupt"",""Operation"":""UserLoginFailed"",""Organization"":""northstar.example"",""ResultStatus"":""Failed"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""AzureActiveDirectory""}",10,120,northstar-audit-010,true,Unchanged
AzureActiveDirectoryStsLogon,4/08/2026 9:50:00 AM,casey.morgan@northstar.example,UserLoggedIn,"{""ClientIP"":""198.51.100.77"",""CreationTime"":""2026-08-04T09:50:00Z"",""Id"":""00000000-0000-4000-8000-000000000011"",""Operation"":""UserLoggedIn"",""Organization"":""northstar.example"",""ResultStatus"":""Success"",""UserAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64)"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""AzureActiveDirectory""}",11,120,northstar-audit-011,true,Unchanged
ExchangeAdmin,4/08/2026 10:01:00 AM,casey.morgan@northstar.example,New-InboxRule,"{""ClientIP"":""198.51.100.77:49152"",""CreationTime"":""2026-08-04T10:01:00Z"",""From"":""finance@northstar.example"",""Id"":""00000000-0000-4000-8000-000000000012"",""MarkAsRead"":true,""MoveToFolder"":""RSS Feeds"",""Operation"":""New-InboxRule"",""Organization"":""northstar.example"",""RuleName"":""."",""StopProcessingRules"":true,""UserId"":""casey.morgan@northstar.example"",""Workload"":""Exchange""}",12,120,northstar-audit-012,true,Unchanged
SharePointFileOperation,4/08/2026 10:12:00 AM,casey.morgan@northstar.example,FileDownloaded,"{""ClientIP"":""198.51.100.77"",""CreationTime"":""2026-08-04T10:12:00Z"",""Id"":""00000000-0000-4000-8000-000000000013"",""Operation"":""FileDownloaded"",""Organization"":""northstar.example"",""SiteUrl"":""https://northstar.example/sites/Orion"",""SourceFileName"":""Orion-Financial-01.pdf"",""SourceRelativeUrl"":""Shared Documents/Project Orion"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""SharePoint""}",13,120,northstar-audit-013,true,Unchanged
SharePointFileOperation,4/08/2026 10:23:00 AM,casey.morgan@northstar.example,FileDownloaded,"{""ClientIP"":""198.51.100.77"",""CreationTime"":""2026-08-04T10:23:00Z"",""Id"":""00000000-0000-4000-8000-000000000014"",""Operation"":""FileDownloaded"",""Organization"":""northstar.example"",""SiteUrl"":""https://northstar.example/sites/Orion"",""SourceFileName"":""Orion-Financial-02.pdf"",""SourceRelativeUrl"":""Shared Documents/Project Orion"",""UserId"":""casey.morgan@northstar.example"",""Workload"":""SharePoint""}",14,120,northstar-audit-014,true,Unchanged
